text;label
Le ciblage des offres commerciales peut être automatisé et basé sur des profils de clients ou de prospects.;Null
Pour plus de détails, reportez-vous aux documents contractuels, notamment les dispositions générales ou notices d’information et les sites internet d’Allianz et;Null
de votre courtier.;Null
Protéger nos clients et nous protéger nous-mêmes est au cœur de la politique de maîtrise des risques d’Allianz et de la lutte anti-fraude. Aussi, nous gardons la;Null
possibilité de vérifier ces informations et de saisir, si nécessaire, les autorités compétentes.;Null
Conformément à l'article L.871-1 du code de la Sécurité sociale, Allianz vous communique le ratio entre le montant des prestations et le montant des;Null
cotisations.;Null
En 2021, le ratio entre le montant des prestations et le montant des cotisations est de 87,49 %;Null
Le ratio entre le montant des prestations versées pour le remboursement et l’indemnisation des frais occasionnés par une maladie, une maternité ou un;Null
accident et le montant des cotisations ou primes afférentes à ces garanties représente la part des cotisations ou primes collectées, hors taxes, par l’organisme;Null
assureur au titre de l’ensemble des garanties couvrant le remboursement ou l’indemnisation des frais précités, qui est utilisée pour le versement des prestations;Null
correspondant à ces garanties.;Null
Validité des conditions tarifaires;Null
Les conditions tarifaires sont fixées en fonction de la situation démographique au moment de l’adhésion au contrat Socle Santé. Elles pourront être revues si la;Null
situation démographique du personnel à assurer évolue.;Null
La présente Etude est valable jusqu'au 10/06/2023 , sous réserve que les informations fournies ne soient pas modifiés lors de l’adhésion.;Null
En cas de modification d’une de vos réponses entre la date de l’Etude et la conclusion de votre adhésion vous vous engagez à en informer Allianz avant;Null
l’adhésion au contrat.;Null
Toute modification des dispositions législatives ou réglementaires ayant une incidence sur la présente Etude pourra entrainer sa remise en cause.;Null
Elle n’engage ni l’assuré ni l’assureur, seule l’adhésion au contrat Socle Santé constate leurs engagements réciproques.;Null
Pour mieux apprécier les garanties proposées, nous vous avons communiqués les documents suivants :;Null
- la Notice d'information (réf DIG20153),;Null
Afin de vous permettre d’estimer, pour une situation donnée et un prix moyen pratiqué ou un tarif réglementé, les remboursements de l’assurance maladie;Null
obligatoire, ceux de l’assurance maladie complémentaire ainsi que les restes à charge éventuels, nous vous communiquons une liste d’exemples de;Null
remboursement déclinée selon trois niveaux de couverture (Réf…);Null
Vous reconnaissez que nous vous avons fourni par ailleurs le document d’information sur le produit d’assurance (ref COM21489);Null
En signant la présente Etude, je demande à adhérer au contrat Allianz Composio Entreprise, dans les conditions énoncées ci-dessus.;Null
Pour réaliser votre dossier d’adhésion, vous devrez fournir un extrait « K bis » de moins de 3 mois.;Null
Allianz Vie;Null
S.A. au capital de 643 054 425 euros;Null
340 234 962 RCS Nanterre;Null
N° TVA : FR88 340 234 962;Null
www.allianz.frAllianz IARD;Null
S.A. au capital de 991.967.200 euros;Null
542 110 291 RCS Nanterre;Null
N° TVA : FR76 542 110 291Entreprises régies par le Code;Null
des assurances;Null
Siège social : 1 cours Michelet - CS 30051;Null
92076 PARIS LA DEFENSE CEDEX;Null
11/11A_________________________________, le 19/04/2023.;Null
Signature du conseiller Signature du représentant de l’entreprise;Null
Cachet de l’entreprise;Null
Powered by TCPDF (www.tcpdf.org);Null
